カテゴリID,カテゴリコード,カテゴリ名,親カテゴリID,表示ランク,紐づけサイズマスタ,紐づけタググループ1,紐づけタググループ2,紐づけタググループ3,紐づけタググループ4,紐づけタググループ5,紐づけタググループ6,紐づけタググループ7,紐づけタググループ8,紐づけタググループ9,紐づけタググループ10
1,205,outer,0,18,,,,,,,,,,,
3,206,tops,0,10,,,,,,,,,,,
4,202,others,0,2,,,,,,,,,,,
6,207,bottoms,0,6,,,,,,,,,,,
9,208,dress,0,14,,,,,,,,,,,
11,001,jacket,1,15,,,,,,,,,,,
15,007,"cut & sewn",3,7,,,,,,,,,,,
16,006,knit,3,8,,,,,,,,,,,
38,000,coat,1,17,,,,,,,,,,,
39,002,blouson,1,16,,,,,,,,,,,
40,204,"one piece",9,12,,,,,,,,,,,
41,004,"all in one",9,11,,,,,,,,,,,
42,017,"blouse / shirt",3,9,,,,,,,,,,,
43,011,denim,6,3,,,,,,,,,,,
44,009,pants,6,5,,,,,,,,,,,
45,010,skirt,6,4,,,,,,,,,,,
46,201,accessory,4,1,,,,,,,,,,,
47,003,"set up",9,13,,,,,,,,,,,
