タグID,タグ名,表示ランク
1,半袖,62
2,半端袖,61
3,長袖,60
4,袖無し,59
5,ショート丈,58
6,ミドル丈,57
7,ロング丈,56
8,無地,55
9,ボーダー柄,54
10,ドット柄,53
11,ストライプ柄,52
12,チェック柄,51
13,カモフラージュ柄,50
14,レース,49
15,レオパード柄,48
16,ライン柄,47
17,花柄,46
18,その他総柄,45
19,前面プリント,44
20,ワンポイント,43
21,ペイズリー柄,42
22,バックプリント,41
23,フリル,40
24,フリンジ,39
25,ビジュー,38
26,刺繍,37
27,リボン,36
28,キルティング,35
29,ゼブラ柄,34
30,パイソン柄,33
31,ショート,32
32,ハーフ,31
33,クロップド,30
34,フルレングス,29
35,コットン,28
36,コーデュロイ,27
37,ニット,26
38,リネン,25
39,ナイロン,24
40,スウェット,23
41,ジャージ,22
42,ストレッチ,21
43,レザー,20
44,サテン,19
45,シルク,18
46,スエード,17
47,ツイード,16
48,ベロア,15
49,スキニー・タイト,14
50,スタンダード,13
51,サルエル,12
52,ワイド・ルーズ,11
53,ライナー取外し可,10
54,ショート・ミニ,9
55,ひざ丈,8
56,ロング・マキシ,7
57,ミモレ・半端,6
58,タイト,5
59,フレア,4
60,台形,3
61,プリーツ,2
63,ティアード,1
