品番,カラーコード,サイズコード,SKU品番,JANコード,商品名,在庫数,実在庫数
cr25aw01141,09,01,cr25aw01141-09-01,4582514450510,2wayノーカラーパファーコート,369,369
cr25aw01141,09,02,cr25aw01141-09-02,4582514450527,2wayノーカラーパファーコート,507,507
cr25aw01141,09,03,cr25aw01141-09-03,4582514450534,2wayノーカラーパファーコート,399,399
cr25aw01141,39,01,cr25aw01141-39-01,4582514450541,2wayノーカラーパファーコート,198,198
cr25aw01141,39,02,cr25aw01141-39-02,4582514450558,2wayノーカラーパファーコート,184,184
cr25aw01141,39,03,cr25aw01141-39-03,4582514450565,2wayノーカラーパファーコート,144,145
cr25aw01145,03,01,cr25aw01145-03-01,4582514450602,コーデュロイシートダウンコート,10,10
cr25aw01145,03,02,cr25aw01145-03-02,4582514450619,コーデュロイシートダウンコート,14,14
cr25aw01145,03,03,cr25aw01145-03-03,4582514450626,コーデュロイシートダウンコート,8,8
cr25aw01145,26,01,cr25aw01145-26-01,4582514450572,コーデュロイシートダウンコート,64,64
cr25aw01145,26,02,cr25aw01145-26-02,4582514450589,コーデュロイシートダウンコート,110,110
cr25aw01145,26,03,cr25aw01145-26-03,4582514450596,コーデュロイシートダウンコート,86,87
cr24aw05040,09,01,cr24aw05040-09-01,4582514470761,ダブルブレストダウンジャケット,0,0
cr24aw05040,09,02,cr24aw05040-09-02,4582514470778,ダブルブレストダウンジャケット,0,0
cr24aw05040,09,03,cr24aw05040-09-03,4582514470785,ダブルブレストダウンジャケット,0,0
cr24aw05040,10,01,cr24aw05040-10-01,4582514470730,ダブルブレストダウンジャケット,120,120
cr24aw05040,10,02,cr24aw05040-10-02,4582514470747,ダブルブレストダウンジャケット,153,153
cr24aw05040,10,03,cr24aw05040-10-03,4582514470754,ダブルブレストダウンジャケット,164,164
cr24aw05040,29,01,cr24aw05040-29-01,4582514470792,ダブルブレストダウンジャケット,0,0
cr24aw05040,29,02,cr24aw05040-29-02,4582514470808,ダブルブレストダウンジャケット,55,55
cr24aw05040,29,03,cr24aw05040-29-03,4582514470815,ダブルブレストダウンジャケット,13,13
cr25aw01138,09,01,cr25aw01138-09-01,4582514478927,リバーロングステンカラーコート,0,0
cr25aw01138,09,02,cr25aw01138-09-02,4582514478934,リバーロングステンカラーコート,51,51
cr25aw01138,09,03,cr25aw01138-09-03,4582514478941,リバーロングステンカラーコート,26,26
cr25aw01138,76,01,cr25aw01138-76-01,4582514478989,リバーロングステンカラーコート,2,2
cr25aw01138,76,02,cr25aw01138-76-02,4582514478996,リバーロングステンカラーコート,3,3
cr25aw01138,76,03,cr25aw01138-76-03,4582514479009,リバーロングステンカラーコート,5,6
cr25aw01138,58,01,cr25aw01138-58-01,4582514478958,リバーロングステンカラーコート,111,111
cr25aw01138,58,02,cr25aw01138-58-02,4582514478965,リバーロングステンカラーコート,163,163
cr25aw01138,58,03,cr25aw01138-58-03,4582514478972,リバーロングステンカラーコート,85,85
cr25aw01140,02,01,cr25aw01140-02-01,4582514478187,リバーフーデッドミドルコート,0,0
cr25aw01140,02,02,cr25aw01140-02-02,4582514478194,リバーフーデッドミドルコート,0,0
cr25aw01140,02,03,cr25aw01140-02-03,4582514478200,リバーフーデッドミドルコート,0,0
cr25aw01140,10,01,cr25aw01140-10-01,4582514478156,リバーフーデッドミドルコート,164,164
cr25aw01140,10,02,cr25aw01140-10-02,4582514478163,リバーフーデッドミドルコート,326,326
cr25aw01140,10,03,cr25aw01140-10-03,4582514478170,リバーフーデッドミドルコート,347,348
cr25aw03159,71,01,cr25aw03159-71-01,4582514451630,ソフトツイードオーバージャケット,0,0
cr25aw03159,71,02,cr25aw03159-71-02,4582514451647,ソフトツイードオーバージャケット,0,0
cr25aw03159,71,03,cr25aw03159-71-03,4582514451654,ソフトツイードオーバージャケット,0,0
cr25aw03159,39,01,cr25aw03159-39-01,4582514451609,ソフトツイードオーバージャケット,127,127
cr25aw03159,39,02,cr25aw03159-39-02,4582514451616,ソフトツイードオーバージャケット,241,241
cr25aw03159,39,03,cr25aw03159-39-03,4582514451623,ソフトツイードオーバージャケット,107,108
cr24aw04101,69,01,cr24aw04101-69-01,4582514472796,マイルドシャギーウールPコート,0,0
cr24aw04101,69,02,cr24aw04101-69-02,4582514472802,マイルドシャギーウールPコート,30,30
cr24aw04101,69,03,cr24aw04101-69-03,4582514472819,マイルドシャギーウールPコート,100,101
cr24aw04101,56,01,cr24aw04101-56-01,4582514472826,マイルドシャギーウールPコート,0,0
cr24aw04101,56,02,cr24aw04101-56-02,4582514472833,マイルドシャギーウールPコート,0,0
cr24aw04101,56,03,cr24aw04101-56-03,4582514472840,マイルドシャギーウールPコート,26,26
cr24aw01042,39,01,cr24aw01042-39-01,4582514471089,アジャスタブルウールロングコート,0,0
cr24aw01042,39,02,cr24aw01042-39-02,4582514471096,アジャスタブルウールロングコート,31,31
cr24aw01042,39,03,cr24aw01042-39-03,4582514471102,アジャスタブルウールロングコート,42,43
cr24aw01042,75,01,cr24aw01042-75-01,4582514471058,アジャスタブルウールロングコート,0,0
cr24aw01042,75,02,cr24aw01042-75-02,4582514471065,アジャスタブルウールロングコート,0,0
cr24aw01042,75,03,cr24aw01042-75-03,4582514471072,アジャスタブルウールロングコート,0,0
cr24aw01042,48,01,cr24aw01042-48-01,4582514471119,アジャスタブルウールロングコート,21,21
cr24aw01042,48,02,cr24aw01042-48-02,4582514471126,アジャスタブルウールロングコート,69,69
cr24aw01042,48,03,cr24aw01042-48-03,4582514471133,アジャスタブルウールロングコート,52,52
cr25aw09167,04,02,cr25aw09167-04-02,4582514479566,ロービングスラブルーズニット,0,0
cr25aw09167,04,03,cr25aw09167-04-03,4582514479573,ロービングスラブルーズニット,0,0
cr25aw09167,69,02,cr25aw09167-69-02,4582514479542,ロービングスラブルーズニット,134,134
cr25aw09167,69,03,cr25aw09167-69-03,4582514479559,ロービングスラブルーズニット,151,153
cr25aw09168,04,02,cr25aw09168-04-02,4582514479603,ロービングスラブニットスカート,0,0
cr25aw09168,04,03,cr25aw09168-04-03,4582514479610,ロービングスラブニットスカート,31,31
cr25aw09168,69,02,cr25aw09168-69-02,4582514479580,ロービングスラブニットスカート,89,89
cr25aw09168,69,03,cr25aw09168-69-03,4582514479597,ロービングスラブニットスカート,168,170
cr25aw07409,66,99,cr25aw07409-66-99,4582514473250,モイストタッチボリュームストール,0,0
cr25aw07409,10,99,cr25aw07409-10-99,4582514473229,モイストタッチボリュームストール,673,674
