品番,SKU品番,カラーコード,サイズコード,商品名,販売計画No,開始日時,終了日時,ステータス,価格（%）,プランアイコンID1,プランアイコンID2,プランアイコンID3,発送予定日
cr24aw05040P,cr24aw05040-10-011,10,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,6,,
cr24aw05040P,cr24aw05040-10-011,10,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",1,,,,,,,,
cr24aw05040P,cr24aw05040-10-011,10,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",2,,,,,,,,
cr24aw05040P,cr24aw05040-10-011,10,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",3,,,,,,,,
cr24aw05040P,cr24aw05040-10-011,10,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",4,,,,,,,,
cr24aw05040P,cr24aw05040-10-021,10,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,6,,
cr24aw05040P,cr24aw05040-10-021,10,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",1,,,,,,,,
cr24aw05040P,cr24aw05040-10-021,10,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",2,,,,,,,,
cr24aw05040P,cr24aw05040-10-021,10,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",3,,,,,,,,
cr24aw05040P,cr24aw05040-10-021,10,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",4,,,,,,,,
cr24aw05040P,cr24aw05040-10-031,10,03,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",3,,3,6,,
cr24aw05040P,cr24aw05040-10-031,10,03,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",1,,,,,,,,
cr24aw05040P,cr24aw05040-10-031,10,03,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",2,,,,,,,,
cr24aw05040P,cr24aw05040-10-031,10,03,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",3,,,,,,,,
cr24aw05040P,cr24aw05040-10-031,10,03,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",4,,,,,,,,
cr24aw05040P,cr24aw05040-09-011,09,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",4,,,,,
cr24aw05040P,cr24aw05040-09-011,09,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",1,,,,,,,,
cr24aw05040P,cr24aw05040-09-011,09,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",2,,,,,,,,
cr24aw05040P,cr24aw05040-09-011,09,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",3,,,,,,,,
cr24aw05040P,cr24aw05040-09-011,09,01,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",4,,,,,,,,
cr24aw05040P,cr24aw05040-09-021,09,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",0,"2025-11-11 17:00","2025-11-18 00:00",4,,,,,
cr24aw05040P,cr24aw05040-09-021,09,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",1,,,,,,,,
cr24aw05040P,cr24aw05040-09-021,09,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",2,,,,,,,,
cr24aw05040P,cr24aw05040-09-021,09,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",3,,,,,,,,
cr24aw05040P,cr24aw05040-09-021,09,02,"ダブルブレストダウンジャケット 受注期間 - 11/17 23:59",4,,,,,,,,
