"SKUコード","商品名","購入件数","数量","単価","金額"
"cr25aw15173-09-99","マルチウェイソフトレザーバッグ","2052","2052","18000","36936000"
"cr24aw15132-09-99","ナイロンレザーショルダーバッグ","1247","1247","15000","18705000"
"cr25aw14134-90-99","ウェイビーアジャスタブルネックレス","2301","2301","8000","18408000"
"cr24aw01042-75-02","アジャスタブルウールロングコート","983","983","18000","17694000"
"cr24aw07707-90-99","マルチウェイドロップネックレス","3429","3432","5000","17160000"
"cr25aw01138-09-03","リバーロングステンカラーコート","917","917","18000","16506000"
"cr24aw05040-10-02","ダブルブレストダウンジャケット","785","785","21000","16485000"
"cr24aw01042-75-03","アジャスタブルウールロングコート","905","905","18000","16290000"
"cr25aw01138-09-02","リバーロングステンカラーコート","883","883","18000","15894000"
"cr24aw05040-10-01","ダブルブレストダウンジャケット","724","724","21000","15204000"
"cr24aw05040-10-03","ダブルブレストダウンジャケット","664","664","21000","13944000"
"cr25aw01138-09-01","リバーロングステンカラーコート","772","772","18000","13896000"
"cr24aw01042-75-01","アジャスタブルウールロングコート","610","610","18000","10980000"
"cr25aw15173-03-99","マルチウェイソフトレザーバッグ","598","598","18000","10764000"
"cr24aw07707-91-99","マルチウェイドロップネックレス","2033","2035","5000","10175000"
"cr23aw05003-04-01","スタンドカラーダウンジャケット","481","481","21000","10101000"
"cr24aw01042-39-02","アジャスタブルウールロングコート","558","558","18000","10044000"
"cr25ss14131-90-99","2wayウォーターパールネックレス","879","879","11000","9669000"
"cr24aw07516-09-01","ボタンスタッズレザーベルト","1030","1030","9000","9270000"
"cr24aw01042-39-03","アジャスタブルウールロングコート","497","497","18000","8946000"
"cr24aw07607-90-99","ツイストカーブチェーンネックレス","801","801","10000","8010000"
"cr25ss14131-91-99","2wayウォーターパールネックレス","724","724","11000","7964000"
"cr23aw01001-09-02","カスタムメルトンマキシコート","431","431","18000","7758000"
"cr25aw09150-10-99","2wayウールカシミアニットビスチェ","1463","1463","5300","7753900"
"cr25aw07409-10-99","モイストタッチボリュームストール","1248","1250","6000","7500000"
"cr25ss03108-09-02","レイヤードシアージャケット","680","680","11000","7480000"
"cr23aw05003-04-02","スタンドカラーダウンジャケット","356","356","21000","7476000"
"cr24aw15075-09-99","マルチウェイソフトレザーバッグ","400","400","18000","7200000"
"cr25aw01140-10-03","リバーフーデッドミドルコート","264","264","27000","7128000"
"cr25aw01140-10-02","リバーフーデッドミドルコート","258","258","27000","6966000"
"cr24aw07516-09-02","ボタンスタッズレザーベルト","765","765","9000","6885000"
"cr23aw01001-09-01","カスタムメルトンマキシコート","382","382","18000","6876000"
"cr23aw14018-90-00","ツイストチェーンネックレス","1736","1743","3900","6797700"
"cr23aw14018-91-00","ツイストチェーンネックレス","1736","1743","3900","6797700"
"cr24ss18030-09-03","ナイロンマルチウェイセットアップ","616","616","11000","6776000"
"cr23aw01001-09-03","カスタムメルトンマキシコート","371","373","18000","6714000"
"cr25aw01141-09-03","2wayノーカラーパファーコート","313","313","21000","6573000"
"cr24aw01042-39-01","アジャスタブルウールロングコート","359","359","18000","6462000"
"cr25ss01085-05-02","ドレープステンカラーコート","396","396","16000","6336000"
"cr25ss01085-05-03","ドレープステンカラーコート","392","392","16000","6272000"
"cr25aw01140-10-01","リバーフーデッドミドルコート","230","230","27000","6210000"
"cr25aw15173-39-99","マルチウェイソフトレザーバッグ","341","341","18000","6138000"
"cr24aw05611-10-02","アシンメトリーツータックパンツ","761","761","8000","6088000"
"cr24aw05611-10-03","アシンメトリーツータックパンツ","747","747","8000","5976000"
"cr24aw15132-78-99","ナイロンレザーショルダーバッグ","398","398","15000","5970000"
"cr25aw01141-09-01","2wayノーカラーパファーコート","280","280","21000","5880000"
"cr24aw03057-80-02","ダブルテーラードジャケット","518","519","11000","5709000"
"cr25aw01141-09-02","2wayノーカラーパファーコート","268","268","21000","5628000"
"cr25ss03108-09-03","レイヤードシアージャケット","509","509","11000","5599000"
"cr24ss11029-09-02","サイドタックスラブワイドパンツ","695","695","8000","5560000"
"cr24aw07516-36-01","ボタンスタッズレザーベルト","606","607","9000","5463000"
"cr24ss18030-09-02","ナイロンマルチウェイセットアップ","491","491","11000","5401000"
"cr24aw03057-69-02","ダブルテーラードジャケット","490","490","11000","5390000"
"cr25aw01138-58-01","リバーロングステンカラーコート","295","295","18000","5310000"
"cr24aw03057-69-03","ダブルテーラードジャケット","481","482","11000","5302000"
"cr25aw01138-58-02","リバーロングステンカラーコート","294","294","18000","5292000"
"cr25aw01138-58-03","リバーロングステンカラーコート","294","294","18000","5292000"
"cr24aw05040-09-02","ダブルブレストダウンジャケット","246","246","21000","5166000"
"cr25aw11149-63-02","アジャスタブルIラインデニムパンツ","632","632","8000","5056000"
"cr24ss10026-73-03","ソフトカーヴィデニムスラックス","627","627","8000","5016000"
"cr24aw03057-80-03","ダブルテーラードジャケット","453","453","11000","4983000"
"cr25ss10080-63-03","ソフトカーヴィーデニムパンツ","622","622","8000","4976000"
"cr24aw03057-76-03","ダブルテーラードジャケット","449","449","11000","4939000"
"cr24aw04054-09-03","フェイクレザージップブルゾン","490","490","10000","4900000"
"cr25aw11149-63-03","アジャスタブルIラインデニムパンツ","604","604","8000","4832000"
"cr24aw03057-76-02","ダブルテーラードジャケット","437","437","11000","4807000"
"cr24aw07516-36-02","ボタンスタッズレザーベルト","532","533","9000","4797000"
"cr25aw07409-66-99","モイストタッチボリュームストール","794","794","6000","4764000"
"cr24aw04054-09-02","フェイクレザージップブルゾン","473","473","10000","4730000"
"cr25aw09165-09-03","2wayハイネックスリムカーディガン","723","723","6500","4699500"
"cr25ss19089-09-03","バックタックナロースカート","667","667","7000","4669000"
"cr25aw19161-09-03","3wayスリットIラインスカート","517","517","9000","4653000"
"cr25ss03108-09-01","レイヤードシアージャケット","422","422","11000","4642000"
"cr24ss11029-09-03","サイドタックスラブワイドパンツ","574","574","8000","4592000"
"cr24ss19020-36-02","バックタックナロースカート","650","650","7000","4550000"
"cr25aw07409-00-99","モイストタッチボリュームストール","753","755","6000","4530000"
"cr25aw18164-10-03","フロントフライニットワンピース","451","451","10000","4510000"
"cr25ss11130-09-03","ウォーターリペレントスラックス","637","638","7000","4466000"
"cr25ss19089-09-02","バックタックナロースカート","631","631","7000","4417000"
"cr24aw07707-90-99","マルチウェイドロップネックレス 受注期間 - 3/30 23:59","877","880","5000","4400000"
"cr24aw06125-85-03","セミドルマンドロストデザインシャツ","694","694","6300","4372200"
"cr24aw04101-69-02","マイルドシャギーウールPコート","181","181","24000","4344000"
"cr23aw05003-09-01","スタンドカラーダウンジャケット","204","204","21000","4284000"
"cr24aw03057-80-01","ダブルテーラードジャケット","387","387","11000","4257000"
"cr24ss10026-73-02","ソフトカーヴィデニムスラックス","530","530","8000","4240000"
"cr25aw09162-38-02","カシミアブレンドメリノウールニット","604","604","7000","4228000"
"cr24ss19020-36-03","バックタックナロースカート","603","603","7000","4221000"
"cr24aw07409-10-99","モイストタッチボリュームストール","699","699","6000","4194000"
"cr24ss03033-69-02","ダブルブレストツイルジャケット","380","380","11000","4180000"
"cr25aw01140-02-02","リバーフーデッドミドルコート","154","154","27000","4158000"
"cr24ss09036-09-99","マルチウェイジップニットビスチェ","920","920","4500","4140000"
"cr23aw01002-36-01","ビッグカラーミディコート","171","171","24000","4104000"
"cr25ss19152-09-03","ストレッチベロアストレートスカート","682","684","6000","4104000"
"cr24aw05040-09-03","ダブルブレストダウンジャケット","191","191","21000","4011000"
"cr25ss01085-05-01","ドレープステンカラーコート","250","250","16000","4000000"
"cr25aw07157-00-02","バックドロストハイネックトップス","646","646","6000","3876000"
"cr25aw19161-09-02","3wayスリットIラインスカート","415","415","9000","3735000"
"cr25aw07142-09-03","シアーベロアクルーネックT","745","745","5000","3725000"
"cr25aw14171-90-99","グロッシーペブルピアス / イヤリング","589","589","6300","3710700"
"cr25ss07087-10-03","フロントフライバックオープンジレ","434","434","8500","3689000"
"cr25ss10080-63-02","ソフトカーヴィーデニムパンツ","461","461","8000","3688000"
"cr24aw06125-85-02","セミドルマンドロストデザインシャツ","582","582","6300","3666600"
"cr25aw09162-38-03","カシミアブレンドメリノウールニット","522","522","7000","3654000"
"cr25aw01140-02-03","リバーフーデッドミドルコート","135","135","27000","3645000"
"cr24ss18030-09-01","ナイロンマルチウェイセットアップ","330","330","11000","3630000"
"cr25ss11130-09-02","ウォーターリペレントスラックス","518","518","7000","3626000"
"cr25aw09165-00-03","2wayハイネックスリムカーディガン","554","554","6500","3601000"
"cr25aw18164-10-02","フロントフライニットワンピース","360","360","10000","3600000"
"cr24aw06708-03-03","カーヴィシームリブプルオーバー","513","513","7000","3591000"
"cr24aw03061-37-03","ツイーディヘリンボンジャケット","356","356","10000","3560000"
"cr24aw09060-10-88","ケープレイヤードVネックベスト","445","445","8000","3560000"
"cr25ss08101-00-02","シルクブレンドボートネックロンT","649","649","5400","3504600"
"cr24ss19020-09-02","バックタックナロースカート","496","496","7000","3472000"
"cr24aw03061-37-02","ツイーディヘリンボンジャケット","346","346","10000","3460000"
"cr25aw07157-09-03","バックドロストハイネックトップス","575","576","6000","3456000"
"cr25aw07157-00-03","バックドロストハイネックトップス","574","575","6000","3450000"
"cr25ss19152-09-02","ストレッチベロアストレートスカート","572","572","6000","3432000"
"cr24aw05506-65-02","バックステッチレギュラーシャツ","568","568","6000","3408000"
"cr24ss11029-09-01","サイドタックスラブワイドパンツ","422","422","8000","3376000"
"cr24ss11029-03-02","サイドタックスラブワイドパンツ","420","420","8000","3360000"
"cr25aw07409-49-99","モイストタッチボリュームストール","560","560","6000","3360000"
"cr25aw09165-09-02","2wayハイネックスリムカーディガン","516","516","6500","3354000"
"cr25aw11169-09-02","ギャバフリースウォームスラックス","478","478","7000","3346000"
"cr25aw07157-09-02","バックドロストハイネックトップス","555","555","6000","3330000"
"cr24ss03033-69-03","ダブルブレストツイルジャケット","302","302","11000","3322000"
"cr25ss07087-10-02","フロントフライバックオープンジレ","390","390","8500","3315000"
"cr24ss19020-09-03","バックタックナロースカート","470","470","7000","3290000"
"cr24aw06708-03-02","カーヴィシームリブプルオーバー","470","470","7000","3290000"
"cr24aw05040-09-01","ダブルブレストダウンジャケット","155","155","21000","3255000"
"cr25ss18118-09-03","ボックスタックキャミワンピース","323","323","10000","3230000"
"cr25ss01085-31-02","ドレープステンカラーコート","200","200","16000","3200000"
"cr25ss06128-09-03","イージーラップマキシワンピース","375","375","8500","3187500"
"cr25aw11155-37-02","フリーウエストベルテッドパンツ","398","398","8000","3184000"
"cr25aw14166-09-99","ストラップフィットコットンビーニー","882","882","3600","3175200"
"cr25aw11155-75-02","フリーウエストベルテッドパンツ","396","396","8000","3168000"
"cr24ss03021-72-02","ハーフスリーブボクシージャケット","351","351","9000","3159000"
"cr25aw09165-00-02","2wayハイネックスリムカーディガン","485","485","6500","3152500"
"cr24aw03057-69-01","ダブルテーラードジャケット","285","285","11000","3135000"
"cr25aw19161-09-01","3wayスリットIラインスカート","348","348","9000","3132000"
"cr23aw05003-09-02","スタンドカラーダウンジャケット","149","149","21000","3129000"
"cr24aw05611-39-02","アシンメトリーツータックパンツ","388","388","8000","3104000"
"cr24ss18034-10-02","ディープネックセットワンピース","244","244","12700","3098800"
"cr25ss07116-09-03","マルチウェイレイヤードタンクトップ","571","571","5400","3083400"
"cr25ss01085-31-03","ドレープステンカラーコート","192","192","16000","3072000"
"cr25aw11169-09-03","ギャバフリースウォームスラックス","437","437","7000","3059000"
"cr24aw07707-91-99","マルチウェイドロップネックレス 受注期間 - 3/30 23:59","607","608","5000","3040000"
"cr25aw01140-02-01","リバーフーデッドミドルコート","111","111","27000","2997000"
"cr24ss19020-36-01","バックタックナロースカート","427","427","7000","2989000"
"cr25aw11155-75-03","フリーウエストベルテッドパンツ","368","368","8000","2944000"
"cr24aw05506-65-03","バックステッチレギュラーシャツ","490","490","6000","2940000"
"cr25ss11119-83-02","ピンタックスラブストレートパンツ","352","352","8300","2921600"
"cr24aw05611-10-01","アシンメトリーツータックパンツ","364","364","8000","2912000"
"cr24aw04101-69-03","マイルドシャギーウールPコート","121","121","24000","2904000"
"cr25ss03108-32-02","レイヤードシアージャケット","261","261","11000","2871000"
"cr25aw09163-21-02","ウールリヨセルハイネックニット","410","410","7000","2870000"
"cr25ss06081-00-02","フルダルスパンフードシャツ","357","357","8000","2856000"
"cr25aw11149-81-03","アジャスタブルIラインデニムパンツ","354","354","8000","2832000"
"cr24aw06518-36-03","ジョーゼットシェイプワンピース","314","314","9000","2826000"
"cr24aw03057-76-01","ダブルテーラードジャケット","255","255","11000","2805000"
"cr25aw11149-81-02","アジャスタブルIラインデニムパンツ","349","349","8000","2792000"
"cr25aw11155-37-03","フリーウエストベルテッドパンツ","349","349","8000","2792000"
"cr25aw11149-63-01","アジャスタブルIラインデニムパンツ","346","346","8000","2768000"
"cr25aw06154-22-02","ストライプパネルシームシャツ","394","394","7000","2758000"
"cr24ss03021-72-03","ハーフスリーブボクシージャケット","306","306","9000","2754000"
"cr25aw07142-09-02","シアーベロアクルーネックT","550","550","5000","2750000"
"cr25aw09162-10-03","カシミアブレンドメリノウールニット","388","388","7000","2716000"
"cr25aw09162-10-02","カシミアブレンドメリノウールニット","385","385","7000","2695000"
"cr25ss11119-83-03","ピンタックスラブストレートパンツ","324","324","8300","2689200"
