"ä˙ä‘","çwì¸åèêî","íjê´","èóê´","íjê´(âÔàı)","íjê´(îÒâÔàı)","èóê´(âÔàı)","èóê´(îÒâÔàı)","çwì¸çáåv","çwì¸ïΩãœ"
"2023-08-01","0","0","0","0","0","0","0","0","0"
"2023-08-02","0","0","0","0","0","0","0","0","0"
"2023-08-03","0","0","0","0","0","0","0","0","0"
"2023-08-04","0","0","0","0","0","0","0","0","0"
"2023-08-05","0","0","0","0","0","0","0","0","0"
"2023-08-06","0","0","0","0","0","0","0","0","0"
"2023-08-07","0","0","0","0","0","0","0","0","0"
"2023-08-08","0","0","0","0","0","0","0","0","0"
"2023-08-09","0","0","0","0","0","0","0","0","0"
"2023-08-10","0","0","0","0","0","0","0","0","0"
"2023-08-11","0","0","0","0","0","0","0","0","0"
"2023-08-12","0","0","0","0","0","0","0","0","0"
"2023-08-13","0","0","0","0","0","0","0","0","0"
"2023-08-14","0","0","0","0","0","0","0","0","0"
"2023-08-15","0","0","0","0","0","0","0","0","0"
"2023-08-16","0","0","0","0","0","0","0","0","0"
"2023-08-17","0","0","0","0","0","0","0","0","0"
"2023-08-18","0","0","0","0","0","0","0","0","0"
"2023-08-19","0","0","0","0","0","0","0","0","0"
"2023-08-20","0","0","0","0","0","0","0","0","0"
"2023-08-21","0","0","0","0","0","0","0","0","0"
"2023-08-22","0","0","0","0","0","0","0","0","0"
"2023-08-23","0","0","0","0","0","0","0","0","0"
"2023-08-24","0","0","0","0","0","0","0","0","0"
"2023-08-25","0","0","0","0","0","0","0","0","0"
"2023-08-26","1981","2","895","2","0","895","0","27925780","14096.8097"
"2023-08-27","74","0","17","0","0","17","0","678240","9165.4054"
"2023-08-28","4","0","0","0","0","0","0","32000","8000.0000"
"2023-08-29","8","0","2","0","0","2","0","71920","8990.0000"
"2023-08-30","31","0","8","0","0","8","0","294640","9504.5161"
"2023-08-31","8","0","4","0","0","4","0","40000","5000.0000"
"2023-09-01","9","0","2","0","0","2","0","72000","8000.0000"
"2023-09-02","2","0","0","0","0","0","0","16000","8000.0000"
"2023-09-03","4","0","1","0","0","1","0","32000","8000.0000"
"2023-09-04","3","0","1","0","0","1","0","16000","5333.3333"
"2023-09-05","1","0","0","0","0","0","0","8000","8000.0000"
"2023-09-06","20","0","6","0","0","6","0","175620","8781.0000"
"2023-09-07","3","0","1","0","0","1","0","26420","8806.6667"
"2023-09-08","15","0","3","0","0","3","0","115600","7706.6667"
"2023-09-09","5","0","1","0","0","1","0","40220","8044.0000"
"2023-09-10","0","0","0","0","0","0","0","0","0"
"2023-09-11","2","0","0","0","0","0","0","16000","8000.0000"
"2023-09-12","1","0","1","0","0","1","0","8000","8000.0000"
"2023-09-13","1","0","1","0","0","1","0","8000","8000.0000"
"2023-09-14","1","0","1","0","0","1","0","8000","8000.0000"
"2023-09-15","2","0","1","0","0","1","0","16000","8000.0000"
"2023-09-16","2","0","1","0","0","1","0","16000","8000.0000"
"2023-09-17","1","0","0","0","0","0","0","8000","8000.0000"
"2023-09-18","2","0","2","0","0","2","0","16000","8000.0000"
"2023-09-19","1","0","0","0","0","0","0","8000","8000.0000"
"2023-09-20","1","0","0","0","0","0","0","8000","8000.0000"
"2023-09-21","1","0","0","0","0","0","0","8000","8000.0000"
"2023-09-22","3","0","0","0","0","0","0","24220","8073.3333"
"2023-09-23","3","0","1","0","0","1","0","24000","8000.0000"
"2023-09-24","0","0","0","0","0","0","0","0","0"
"2023-09-25","1","0","1","0","0","1","0","8000","8000.0000"
"2023-09-26","0","0","0","0","0","0","0","0","0"
"2023-09-27","2","0","0","0","0","0","0","16000","8000.0000"
"2023-09-28","0","0","0","0","0","0","0","0","0"
"2023-09-29","0","0","0","0","0","0","0","0","0"
"2023-09-30","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-01","3","0","0","0","0","0","0","24220","8073.3333"
"2023-10-02","2","0","0","0","0","0","0","16220","8110.0000"
"2023-10-03","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-04","2","0","0","0","0","0","0","16000","8000.0000"
"2023-10-05","1","0","0","0","0","0","0","0","0.0000"
"2023-10-06","1","0","1","0","0","1","0","8000","8000.0000"
"2023-10-07","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-08","2","0","0","0","0","0","0","16000","8000.0000"
"2023-10-09","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-10","0","0","0","0","0","0","0","0","0"
"2023-10-11","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-12","1","0","0","0","0","0","0","8000","8000.0000"
"2023-10-13","5","0","3","0","0","3","0","40000","8000.0000"
"2023-10-14","2","0","1","0","0","1","0","16000","8000.0000"
"2023-10-15","3","0","2","0","0","2","0","24220","8073.3333"
"2023-10-16","3","0","1","0","0","1","0","24000","8000.0000"
"2023-10-17","4","0","1","0","0","1","0","32220","8055.0000"
"2023-10-18","7","0","0","0","0","0","0","57320","8188.5714"
"2023-10-19","3","0","0","0","0","0","0","24000","8000.0000"
"2023-10-20","0","0","0","0","0","0","0","0","0"
"2023-10-21","3292","16","1802","16","0","1802","0","53213760","16164.5687"
"2023-10-22","2","0","1","0","0","1","0","16000","8000.0000"
"2023-10-23","14","0","8","0","0","8","0","249940","17852.8571"
"2023-10-24","3","0","1","0","0","1","0","24220","8073.3333"
"2023-10-25","36","0","20","0","0","20","0","482590","13405.2778"
"2023-10-26","4","2","2","2","0","2","0","44320","11080.0000"
"2023-10-27","0","0","0","0","0","0","0","0","0"
"2023-10-28","3","0","2","0","0","2","0","22600","7533.3333"
"2023-10-29","6","0","3","0","0","3","0","96620","16103.3333"
"2023-10-30","4","0","1","0","0","1","0","44100","11025.0000"
"2023-10-31","0","0","0","0","0","0","0","0","0"
"2023-11-01","0","0","0","0","0","0","0","0","0"
"2023-11-02","1","0","0","0","0","0","0","8000","8000.0000"
"2023-11-03","949","0","425","0","0","425","0","5480330","5774.8472"
"2023-11-04","720","1","239","1","0","239","0","4055990","5633.3194"
"2023-11-05","655","1","220","1","0","220","0","3663590","5593.2672"
"2023-11-06","37","0","6","0","0","6","0","467600","12637.8378"
"2023-11-07","11","0","6","0","0","6","0","124300","11300.0000"
"2023-11-08","23","0","8","0","0","8","0","257040","11175.6522"
"2023-11-09","3","0","1","0","0","1","0","27300","9100.0000"
"2023-11-10","1","0","0","0","0","0","0","8000","8000.0000"
"2023-11-11","3","0","1","0","0","1","0","24220","8073.3333"
"2023-11-12","1","0","0","0","0","0","0","11300","11300.0000"
"2023-11-13","6","0","3","0","0","3","0","120820","20136.6667"
"2023-11-14","3","0","2","0","0","2","0","31700","10566.6667"
"2023-11-15","0","0","0","0","0","0","0","0","0"
"2023-11-16","0","0","0","0","0","0","0","0","0"
"2023-11-17","2","0","0","0","0","0","0","40200","20100.0000"
"2023-11-18","2159","12","1164","12","0","1164","0","45302120","20982.9180"
"2023-11-19","40","0","14","0","0","14","0","361580","9039.5000"
"2023-11-20","9","0","3","0","0","3","0","118970","13218.8889"
"2023-11-21","8","0","2","0","0","2","0","141440","17680.0000"
"2023-11-22","32","0","10","0","0","10","0","509110","15909.6875"
"2023-11-23","4","0","1","0","0","1","0","24220","6055.0000"
"2023-11-24","1","0","0","0","0","0","0","8220","8220.0000"
"2023-11-25","1","0","0","0","0","0","0","8000","8000.0000"
"2023-11-26","5","0","2","0","0","2","0","40550","8110.0000"
"2023-11-27","1","0","0","0","0","0","0","8000","8000.0000"
"2023-11-28","1","0","0","0","0","0","0","15700","15700.0000"
"2023-11-29","1","0","0","0","0","0","0","8000","8000.0000"
"2023-11-30","1","0","0","0","0","0","0","0","0.0000"
"2023-12-01","3","0","1","0","0","1","0","24220","8073.3333"
"2023-12-02","0","0","0","0","0","0","0","0","0"
"2023-12-03","2","0","0","0","0","0","0","23700","11850.0000"
"2023-12-04","1","0","1","0","0","1","0","23620","23620.0000"
"2023-12-05","0","0","0","0","0","0","0","0","0"
"2023-12-06","0","0","0","0","0","0","0","0","0"
"2023-12-07","25","0","5","0","0","5","0","586540","23461.6000"
"2023-12-08","0","0","0","0","0","0","0","0","0"
"2023-12-09","1","0","1","0","0","1","0","8220","8220.0000"
"2023-12-10","0","0","0","0","0","0","0","0","0"
"2023-12-11","2","0","1","0","0","1","0","47240","23620.0000"
"2023-12-12","1","0","0","0","0","0","0","11300","11300.0000"
"2023-12-13","0","0","0","0","0","0","0","0","0"
"2023-12-14","19","0","7","0","0","7","0","445040","23423.1579"
"2023-12-15","0","0","0","0","0","0","0","0","0"
"2023-12-16","26","0","8","0","0","8","0","597620","22985.3846"
"2023-12-17","5","0","1","0","0","1","0","117220","23444.0000"
"2023-12-18","0","0","0","0","0","0","0","0","0"
"2023-12-19","0","0","0","0","0","0","0","0","0"
"2023-12-20","2","0","0","0","0","0","0","46800","23400.0000"
"2023-12-21","0","0","0","0","0","0","0","0","0"
"2023-12-22","0","0","0","0","0","0","0","0","0"
"2023-12-23","0","0","0","0","0","0","0","0","0"
"2023-12-24","1","0","0","0","0","0","0","8000","8000.0000"
"2023-12-25","0","0","0","0","0","0","0","0","0"
"2023-12-26","0","0","0","0","0","0","0","0","0"
"2023-12-27","0","0","0","0","0","0","0","0","0"
